Folio;IndExe;NmbItem;QtyItem;UnmdItem;PrcItem;Anular;Rebajar
1;;koyak el chupete;12;;170;1;
;;cuaderno pre U;20;;1050;;
2;;pizza española el italiano;29;;2990;;
3;;sorpresa de cumpleaño;90;;300;1;
;;gorros superhéroes;13;;840;;
4;;item afecto 1;12;;1500;;
;1;item exento 2;2;;2590;;
;1;item exento 3;1;;5000;;
5;;combo Italiano + bebida;12;;1690;1;
6;;item afecto 1;5;;25;;
;1;item exento 2;1;;20000;;
7;;goma de borrar school;5;;340;;40
8;;Té ceylan;5;;3178;;
;;Jugo super natural de 3/4 lts;38;;150;;
9;;lápiz tinta azul;10;;290;;
;;lápiz tinta rojo;5;;250;;
;;lápiz tinta mágica;3;;790;;
;;lápiz corrector;2;;1190;;
;;corchetera;1;;3500;;
10;;"Clavo Galvanizado 3/4""";3.8;Kg;710;;40
